xcorr,deltacn,sprank,ions,calc_neutral_pep_mass,label
0.581,0.007,160,804,599.5987,1
0.889,0.039,14,1607,1055.1209,1
1.272,0.009,39,1408,882.9262,1
0.858,0.033,26,1205,628.727,1
1.496,0.006,318,1040,1116.3696,1
1.101,0.032,11,1409,882.9262,1
0.8,0.093,20,1205,883.9652,1
1.597,0.086,1,1320,1216.4411,1
1.369,0.138,32,1240,1216.4411,1
1.157,0.06,18,1608,1101.2891,1
1.239,0.013,18,1436,1192.3343,1
1.344,0.08,25,1808,1169.2163,1
1.882,0.112,45,1660,1800.0452,1
1.637,0.135,6,1336,1167.2444,1
1.201,0.046,19,1748,1357.6598,1
1.116,0.164,8,1608,1160.4258,1
1.68,0.018,26,1856,1677.8779,1
1.313,0.101,105,2407,1488.661,1
1.244,0.034,4,2209,1378.3776,1
2.067,0.088,142,1384,2639.0122,1
1.128,0.022,1,2410,1520.7929,1
1.098,0.097,111,2809,985.1919,1
1.185,0.137,129,2607,1396.6506,1
1.155,0.043,1,2610,1442.5896,1
0.897,0.072,24,2007,1267.272,1
1.156,0.037,164,732,1797.1259,1
2.005,0.239,1,2168,2020.1864,1
1.193,0.046,28,2208,1458.5559,1
3.917,0.5,1,3072,1953.3104,1
1.814,0.23,2,2288,2315.7416,1
1.703,0.044,25,1580,2363.6526,1
1.601,0.072,18,1872,2013.4087,1
3.59,0.456,1,2772,1953.3104,1
0.971,0.002,34,3007,1783.9531,1
1.278,0.025,134,1044,1499.6922,1
2.846,0.482,1,1522,1499.6922,1
1.192,0.004,41,1808,1236.3874,1
1.392,0.121,2,3009,1985.1111,1
1.397,0.072,10,832,2034.3524,1
1.789,0.075,6,1896,2898.1466,1
1.328,0.142,262,3006,1687.9982,1
1.657,0.001,29,17128,3407.055,1
1.086,0.105,51,2408,1394.554,1
2.128,0.145,216,13116,3522.0187,1
1.625,0.036,2,2088,2307.7624,1
1.738,0.016,21,1796,2841.3115,1
1.223,0.058,1,1808,1260.506,1
1.371,0.22,16,3009,1614.7301,1
1.252,0.093,154,2806,1795.0436,1
3.829,0.579,1,2764,2044.303,1
1.321,0.007,2,2609,1549.7447,1
3.647,0.531,1,2376,2359.6292,1
2.868,0.392,1,1334,1854.2236,1
2.112,0.44,1,1812,1030.3195,1
1.648,0.061,102,1488,2738.1854,1
1.07,0.099,57,2407,1551.5896,1
2.115,0.152,1,1880,2416.6812,1
2.211,0.305,100,1476,2359.6292,1
2.217,0.238,4,1780,2348.5578,1
0.9,0,20,2008,1182.3831,1
1.308,0.055,3,2209,1238.4502,1
1.957,0.235,1,1234,1854.2236,1
1.111,0.081,3,2609,1748.9651,1
1.563,0.074,22,1776,2180.4026,1
1.188,0.066,90,740,2254.4357,1
1.923,0.067,2,2192,2693.9157,1
2.597,0.17,1,2092,2768.2532,1
1.429,0.248,1,2810,1930.1992,1
1.277,0.05,49,1580,2501.8711,1
1.119,0.009,307,640,2293.5621,1
1.614,0.146,2,1032,1941.0495,1
3.852,0.382,1,1930,1668.9976,1
2.291,0.154,63,17120,3555.9428,1
1.155,0.065,1,1034,1866.2322,1
2.717,0.401,1,1730,1668.9976,1
1.062,0.059,41,832,1833.9702,1
1.983,0.301,2,3011,1814.0258,1
1.811,0.032,116,1596,2867.1362,1
1.747,0.015,392,1296,2874.1222,1
1.423,0.023,3,3011,1668.9976,1
0.873,0.036,36,2407,1438.5638,1
1.161,0.056,17,834,1875.1552,1
1.612,0.1,22,17104,3174.523,1
1.978,0.114,65,1488,2473.8962,1
1.792,0.041,5,1992,2740.0216,1
1.54,0.172,7,940,2348.5578,1
1.348,0.072,19,832,1816.1314,1
1.194,0.088,162,3006,1668.9976,1
1.534,0.037,21,1784,2349.7105,1
1.817,0.015,31,16112,3206.606,1
1.167,0.005,116,1588,2592.8426,1
1.827,0.077,17,17108,3212.529,1
1.759,0.03,189,14104,2920.3129,1
